[StudentAgent] Player 2 chose move with value=-19.74, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.80, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.44, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-63.47, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-63.47, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-56.00, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-60.58, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=-54.13, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-50.67, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-47.89, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-39.03, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-43.46, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-40.40, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-10.57, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-17.80, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-17.53, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=3.27, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=8.64, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=7.14, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=7.14, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=4.45, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.41, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-31.73, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-56.94, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-51.67, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-70.83, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-39.62, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-28.08, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-19.02, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=17.63, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=30.61, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=69.56, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=79.20, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=95.36, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=102.74, final depth=6, time=1.442s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.915s
[StudentAgent] Player 1 chose move with value=-12.37, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-8.06, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-24.22, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-77.55, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-40.83, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-12.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=16.77, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-24.92, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-13.89, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-33.54, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-85.76, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-49.33, final depth=5, time=1.602s
[StudentAgent] Player 2 chose move with value=-37.76, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-4.30, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.14, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.14, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-34.47, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.82, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-42.54, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-42.54, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-63.07, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-57.16, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-56.12, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-42.00, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-38.74, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-29.63, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-14.82, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-20.45, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-23.67, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=6.17, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=1.45, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-6.59, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-19.14, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-14.13, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-8.74, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=5.22, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-22.94, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.31, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=2.34, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-4.54, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=3.36, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=9.76, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=10.53, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=18.61, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=23.37, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=34.83, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=46.16, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=55.56, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=68.44, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=76.05, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=83.73, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=5, time=1.601s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.011s
[StudentAgent] Player 1 chose move with value=-7.99, final depth=5, time=1.600s
