[StudentAgent] Player 2 chose move with value=-16.29, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-11.13, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.83, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.83, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.09, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-37.48, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-23.71, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-18.40, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-33.11, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-30.41, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.51, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-17.51, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-9.36, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=0.87, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=13.10, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=21.27, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=39.85, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=37.33, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=42.90, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=39.85, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=43.88, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=56.86, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=48.71, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=63.26, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=26.50, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=26.76, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.78, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.78, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-6.08, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-0.51, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=1.33, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=3.98, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=3.98, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.95, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=7.62, final depth=6, time=0.338s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.005s
[StudentAgent] Player 1 chose move with value=-10.02, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-12.20, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-6.65, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-16.04, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=2.14, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=5.91, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=10.18, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=3.40, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=48.24, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=53.81, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=53.10, final depth=2, time=1.601s
[StudentAgent] Player 1 chose move with value=63.24, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=65.79, final depth=3, time=1.600s
